ATCF_ID,name,basedamage,ATD,ND,lf_ISO_TIME,lf_wind,lf_pressure,lf_state,WPC,population,lf_lat,lf_lon,Tide_Level
AL091948,Storm 8 in 1948,5500000,23.115321278428542,1150000000,1948-10-05 20:30:00,90,980.4,FL,5887.568113154792,404135,25.192950000000003,-80.81705,-12.379375083743732
AL021949,Storm 2 in 1949,52000000,431.144364992759,25900000000,1949-08-26 23:30:00,115,954.0,FL,5883.180952891654,205007,26.6,-80.05,-2.9206745752028724
AL111949,Storm 10 in 1949,6700000,106.80150331445564,1380000000,1949-10-04 05:00:00,95,965.0,TX,5883.180952891654,106631,28.8,-95.6,-1.3308168327878755
AL051950,Easy,3300000,10.219996719294903,2380000000,1950-09-04 12:00:00,85,973.0,FL,6456.8444924975665,500084,27.7,-83.5,5.31073520307867
AL111950,King,28000000,73.52967060352489,7220000000,1950-10-18 05:00:00,115,955.0,FL,6456.8444924975665,589760,25.7,-80.2,7.018789594617346
AL091951,How,2000000,44.10709557127195,1850000000,1951-10-02 11:00:00,55,992.9375,FL,6985.034383972727,64916,26.75,-82.0,-40.809473403537105
AL021952,Able,2750000,14.010927442306022,210000000,1952-08-31 03:00:00,85,983.0,SC,7260.088943257255,270348,32.3,-80.6,-85.25176992164005
AL031953,Barbara,1000000,11.23453181722808,78000000,1953-08-14 05:00:00,80,980.5833333333334,NC,7437.094600946325,119686,35.4,-76.1,-27.59007986260692
AL091953,Florence,200000,2.3303755695808537,21000000,1953-09-26 16:00:00,80,968.0,FL,7437.094600946325,115399,30.433333333333334,-86.16666666666667,-25.483880116617815
AL061954,Carol,227500,2.2982370215176546,42000000,1954-08-31 01:00:00,97,959.3333333333334,NC,7624.806793479933,129825,34.55816666666667,-75.77276666666667,38.84622173073584
AL061954,Carol,460000000,331.44653677694896,24920000000,1954-08-31 14:00:00,100,955.0,NY,7624.806793479933,1820185,40.9,-72.2,47.85642139874036
AL081954,Edna,40000000,14.439932924224445,4010000000,1954-09-11 19:00:00,97,952.0,MA,7624.806793479933,3633005,41.7,-70.3,-89.09912501695294
AL141954,Hazel,281000000,2069.242957473319,36450000000,1954-10-15 15:30:00,115,938.0,SC,7624.806793479933,178101,33.9,-78.6,96.29328334043717
AL021955,Connie,40000000,274.789028981621,2710000000,1955-08-12 16:00:00,85,962.0,NC,8134.321585236724,178953,34.800000000000004,-76.66666666666667,-25.59737790441297
AL031955,Diane,200000000,1286.7247438411528,21960000000,1955-08-17 12:30:00,62,985.3333333333334,NC,8134.321585236724,191083,34.08416666666667,-77.94416666666667,55.074032744042356
AL031955,Diane,600000000,57.56395904333729,31030000000,1955-08-19 07:00:00,40,1000.3333333333334,NY,8134.321585236724,12813839,40.5358,-74.25736666666667,-101.80581409915891
AL081955,Ione,88035000,612.9573180201901,8410000000,1955-09-19 11:30:00,92,955.0,NC,8134.321585236724,176565,34.75,-76.7,-1.5267928069182277
AL071956,Flossy,25000000,200.24731366851572,2060000000,1956-09-24 23:30:00,80,974.1666666666666,LA,8679.65355098353,143837,30.35955,-86.49623333333334,2.527709624162205
AL021957,Audrey,150000000,544.1961581662082,4750000000,1957-06-27 13:30:00,110,946.0,TX,8974.508681994934,307132,29.8,-93.7,14.248799994983278
AL061957,Esther,1500000,10.77110766878593,73000000,1957-09-18 12:00:00,55,1000.6666666666666,LA,8974.508681994934,155174,29.2,-90.9,17.93054348397622
AL081958,Helene,11200000,58.9963465121442,740000000,1958-09-27 17:00:00,120,938.0,NC,9115.601725038898,208261,33.7665,-77.7919,-53.563602625256856
AL011959,Arlene,500000,3.0264005531824636,15000000,1959-05-30 22:30:00,55,993.0,LA,9323.660588268503,177197,29.650000000000002,-91.6,12.157932284864724
AL031959,Not Named 1959,1656000,2.5148688176460414,130000000,1959-06-18 08:00:00,40,1002.0,FL,9323.660588268503,706250,28.0,-82.8,-13.395214967507368
AL051959,Debra,7000000,12.818755129789109,620000000,1959-07-25 05:00:00,75,980.0,TX,9323.660588268503,585687,29.1,-95.2,-2.8326990109425827
AL081959,Gracie,14000000,61.505881629143,710000000,1959-09-29 17:30:00,115,951.0,SC,9323.660588268503,244132,32.5,-80.5,-75.65974471947484
AL011960,Not Named 1960,3600000,17.185833310683545,130000000,1960-06-24 05:30:00,50,1000.0,TX,9442.354503208682,221846,27.125,-97.475,-16.686640756364344
